frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
24,8.73,-0.05,7.44,-0.01,5.15,0.1,6.18,0.04,4.17,0.03,-1.8700000047683716,0.3400000035762787,2.34,0.03,11.28,5.08,7.44,-1.05,0.9200000166893005,0.07999999821186066,3.09,0.14,,,,,,,,,,
25,8.73,-0.05,7.44,-0.01,5.15,0.1,6.18,0.04,4.16,0.03,-1.8799999952316284,0.3400000035762787,2.33,0.03,11.28,5.07,7.44,-1.05,0.8999999761581421,0.07999999821186066,3.1,0.15,,,,,,,,,,
26,8.73,-0.05,7.44,-0.0,5.15,0.1,6.17,0.04,4.17,0.02,-1.8799999952316284,0.3400000035762787,2.34,0.02,11.27,5.06,7.44,-1.05,0.8999999761581421,0.07999999821186066,3.11,0.14,,,,,,,,,,
27,8.73,-0.04,7.43,0.01,5.14,0.1,6.16,0.04,4.17,0.02,-1.8899999856948853,0.3400000035762787,2.35,0.02,11.26,5.06,7.44,-1.05,0.9100000262260437,0.07999999821186066,3.14,0.13,,,,,,,,,,
28,8.73,-0.05,7.43,0.02,5.14,0.1,6.15,0.04,4.17,0.03,-1.8899999856948853,0.3400000035762787,2.34,0.02,11.27,5.08,7.43,-1.05,0.9100000262260437,0.07999999821186066,3.15,0.13,,,,,,,,,,
29,8.73,-0.05,7.42,0.03,5.14,0.1,6.14,0.04,4.17,0.03,-1.8899999856948853,0.3400000035762787,2.32,0.03,11.27,5.08,7.44,-1.05,0.9100000262260437,0.07999999821186066,3.14,0.14,,,,,,,,,,
30,8.73,-0.05,7.42,0.03,5.13,0.1,6.13,0.05,4.17,0.03,-1.8899999856948853,0.3400000035762787,2.29,0.04,11.26,5.08,7.43,-1.05,0.9200000166893005,0.07999999821186066,3.14,0.14,,,,,,,,,,
31,8.74,-0.05,7.42,0.04,5.14,0.1,6.13,0.06,4.17,0.03,-1.8799999952316284,0.33000001311302185,2.28,0.04,11.26,5.08,7.44,-1.05,0.9200000166893005,0.07999999821186066,3.15,0.13,,,,,,,,,,
32,8.74,-0.05,7.42,0.05,5.15,0.1,6.12,0.05,4.18,0.02,-1.8799999952316284,0.33000001311302185,2.27,0.04,11.26,5.08,7.43,-1.05,0.9300000071525574,0.07999999821186066,3.14,0.13,,,,,,,,,,
33,8.74,-0.05,7.41,0.06,5.15,0.1,6.12,0.06,4.18,0.02,-1.8799999952316284,0.33000001311302185,2.25,0.04,11.25,5.07,7.43,-1.05,0.9399999976158142,0.07999999821186066,3.16,0.13,,,,,,,,,,
34,8.75,-0.05,7.42,0.06,5.15,0.1,6.11,0.06,4.18,0.03,-1.8899999856948853,0.3400000035762787,2.25,0.04,11.24,5.05,7.43,-1.05,0.949999988079071,0.07000000029802322,3.16,0.12,,,,,,,,,,
35,8.75,-0.04,7.42,0.06,5.15,0.1,6.11,0.05,4.17,0.03,-1.899999976158142,0.3400000035762787,2.24,0.04,11.24,5.04,7.43,-1.05,0.9399999976158142,0.07999999821186066,3.16,0.12,,,,,,,,,,
36,8.75,-0.05,7.42,0.07,5.15,0.1,6.11,0.06,4.17,0.03,-1.909999966621399,0.3400000035762787,2.25,0.03,11.23,5.04,7.42,-1.05,0.9399999976158142,0.07999999821186066,3.18,0.11,,,,,,,,,,
37,8.75,-0.05,7.43,0.07,5.15,0.1,6.11,0.06,4.17,0.03,-1.909999966621399,0.3400000035762787,2.24,0.03,11.23,5.03,7.42,-1.05,0.9200000166893005,0.09000000357627869,3.19,0.11,,,,,,,,,,
38,8.75,-0.04,7.43,0.07,5.15,0.1,6.11,0.06,4.17,0.03,-1.9199999570846558,0.3400000035762787,2.23,0.03,11.24,5.04,7.42,-1.05,0.9200000166893005,0.09000000357627869,3.18,0.12,,,,,,,,,,
39,8.75,-0.04,7.43,0.07,5.15,0.1,6.11,0.06,4.17,0.03,-1.9600000381469727,0.3499999940395355,2.24,0.03,11.23,5.04,7.42,-1.05,0.9100000262260437,0.10000000149011612,3.18,0.12,,,,,,,,,,
40,8.76,-0.03,7.44,0.07,5.15,0.09,6.1,0.06,4.18,0.03,-1.9700000286102295,0.3499999940395355,2.25,0.02,11.24,5.05,7.42,-1.05,0.8899999856948853,0.10000000149011612,3.17,0.13,,,,,,,,,,
41,8.76,-0.03,7.44,0.07,5.14,0.1,6.1,0.06,4.18,0.03,-2.0,0.36000001430511475,2.27,0.01,11.22,5.04,7.42,-1.05,0.8999999761581421,0.10000000149011612,3.17,0.13,,,,,,,,,,
42,8.76,-0.03,7.44,0.07,5.15,0.1,6.1,0.06,4.19,0.03,-2.009999990463257,0.36000001430511475,2.28,0.02,11.22,5.04,7.42,-1.05,0.8899999856948853,0.10000000149011612,3.17,0.13,,,,,,,,,,
43,8.76,-0.02,7.45,0.07,5.15,0.1,6.09,0.06,4.19,0.03,-2.0199999809265137,0.36000001430511475,2.26,0.02,11.22,5.05,7.42,-1.05,0.8999999761581421,0.09000000357627869,3.18,0.13,,,,,,,,,,
44,8.77,-0.02,7.45,0.07,5.15,0.1,6.08,0.06,4.19,0.03,-2.0299999713897705,0.3700000047683716,2.28,0.03,11.22,5.05,7.42,-1.05,0.8999999761581421,0.09000000357627869,3.18,0.13,,,,,,,,,,
45,8.77,-0.01,7.46,0.07,5.15,0.09,6.08,0.05,4.19,0.03,-2.0299999713897705,0.36000001430511475,2.28,0.02,11.22,5.05,7.42,-1.05,0.8999999761581421,0.09000000357627869,3.18,0.13,,,,,,,,,,
46,8.77,-0.01,7.46,0.08,5.15,0.09,6.08,0.05,4.18,0.03,-2.0299999713897705,0.36000001430511475,2.29,0.02,11.2,5.02,7.42,-1.05,0.8899999856948853,0.09000000357627869,3.18,0.13,,,,,,,,,,
47,8.77,-0.0,7.46,0.08,5.15,0.09,6.08,0.05,4.18,0.03,-2.0199999809265137,0.36000001430511475,2.28,0.03,11.19,5.02,7.42,-1.05,0.8899999856948853,0.10000000149011612,3.2,0.12,,,,,,,,,,
48,8.77,-0.01,7.46,0.09,5.15,0.1,6.08,0.05,4.18,0.03,-2.0199999809265137,0.36000001430511475,2.31,0.02,11.19,5.0,7.42,-1.05,0.8799999952316284,0.10000000149011612,3.2,0.12,,,,,,,,,,
49,8.77,-0.0,7.45,0.08,5.15,0.1,6.08,0.05,4.18,0.03,-2.0,0.36000001430511475,2.32,0.02,11.19,5.0,7.42,-1.05,0.8700000047683716,0.10000000149011612,3.21,0.12,,,,,,,,,,
50,8.76,-0.0,7.45,0.08,5.15,0.1,6.08,0.05,4.18,0.04,-1.9900000095367432,0.36000001430511475,2.33,0.01,11.19,4.98,7.42,-1.05,0.8600000143051147,0.10000000149011612,3.21,0.12,,,,,,,,,,
51,8.76,0.0,7.45,0.09,5.15,0.1,6.08,0.05,4.17,0.04,-1.9900000095367432,0.36000001430511475,2.34,0.02,11.19,4.97,7.42,-1.05,0.8700000047683716,0.10000000149011612,3.21,0.13,,,,,,,,,,
52,8.76,-0.0,7.45,0.08,5.15,0.1,6.08,0.04,4.17,0.04,-1.9800000190734863,0.36000001430511475,2.32,0.02,11.19,4.97,7.42,-1.05,0.8799999952316284,0.09000000357627869,3.23,0.12,,,,,,,,,,
53,8.75,-0.0,7.45,0.09,5.15,0.1,6.08,0.05,4.18,0.04,-1.9800000190734863,0.36000001430511475,2.32,0.03,11.19,4.97,7.42,-1.06,0.8799999952316284,0.09000000357627869,3.24,0.11,,,,,,,,,,
54,8.75,0.0,7.45,0.09,5.15,0.1,6.08,0.05,4.19,0.03,-1.9700000286102295,0.36000001430511475,2.31,0.05,11.19,4.97,7.41,-1.06,0.8799999952316284,0.09000000357627869,3.24,0.12,,,,,,,,,,
55,8.75,0.0,7.45,0.1,5.15,0.09,6.09,0.04,4.19,0.03,-1.9700000286102295,0.36000001430511475,2.32,0.05,11.19,4.97,7.4,-1.06,0.8700000047683716,0.09000000357627869,3.25,0.12,,,,,,,,,,
56,8.75,0.01,7.45,0.11,5.15,0.09,6.09,0.04,4.2,0.03,-1.9500000476837158,0.36000001430511475,2.32,0.05,11.19,4.97,7.39,-1.06,0.8700000047683716,0.09000000357627869,3.26,0.12,,,,,,,,,,
57,8.75,0.01,7.45,0.11,5.15,0.09,6.09,0.04,4.21,0.02,-1.940000057220459,0.36000001430511475,2.34,0.05,11.19,4.96,7.38,-1.06,0.8700000047683716,0.09000000357627869,3.26,0.12,,,,,,,,,,
58,8.75,0.02,7.45,0.1,5.15,0.09,6.09,0.04,4.21,0.03,-1.940000057220459,0.36000001430511475,2.35,0.05,11.19,4.97,7.36,-1.06,0.8500000238418579,0.09000000357627869,3.27,0.11,,,,,,,,,,
59,8.75,0.03,7.45,0.1,5.15,0.09,6.08,0.05,4.21,0.04,-1.940000057220459,0.36000001430511475,2.33,0.06,11.2,4.99,7.36,-1.06,0.8600000143051147,0.09000000357627869,3.27,0.12,,,,,,,,,,
60,8.74,0.03,7.45,0.1,5.15,0.09,6.08,0.05,4.2,0.04,-1.9500000476837158,0.36000001430511475,2.32,0.07,11.2,4.99,7.35,-1.06,0.8600000143051147,0.09000000357627869,3.26,0.12,,,,,,,,,,
