frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
24,91.24,-2.31,77.79,-1.58,53.63,0.22,64.55,-0.72,43.19,-0.54,-22.780000686645508,4.809999942779541,23.52,-0.14,118.75,66.06,77.75,-15.31,8.100000381469727,0.6899999976158142,31.66,1.22,,,,,,,,,,
25,91.22,-2.31,77.81,-1.64,53.63,0.22,64.52,-0.72,43.16,-0.54,-22.829999923706055,4.800000190734863,23.45,-0.15,118.71,65.88,77.75,-15.31,7.940000057220459,0.7799999713897705,31.73,1.23,,,,,,,,,,
26,91.22,-2.31,77.78,-1.54,53.63,0.22,64.44,-0.73,43.2,-0.58,-22.8700008392334,4.800000190734863,23.59,-0.28,118.61,65.69,77.73,-15.31,7.909999847412109,0.7799999713897705,31.85,1.19,,,,,,,,,,
27,91.26,-2.3,77.71,-1.38,53.6,0.26,64.33,-0.71,43.27,-0.61,-22.959999084472656,4.789999961853027,23.64,-0.37,118.55,65.69,77.73,-15.31,7.989999771118164,0.7300000190734863,32.12,1.03,,,,,,,,,,
28,91.26,-2.36,77.66,-1.22,53.6,0.26,64.25,-0.72,43.23,-0.57,-23.0,4.78000020980835,23.52,-0.34,118.58,66.05,77.71,-15.32,8.020000457763672,0.7300000190734863,32.24,1.0,,,,,,,,,,
29,91.26,-2.36,77.64,-1.15,53.51,0.2,64.17,-0.69,43.23,-0.57,-23.0,4.78000020980835,23.31,-0.22,118.58,66.05,77.74,-15.33,8.0600004196167,0.7400000095367432,32.17,1.09,,,,,,,,,,
30,91.29,-2.36,77.58,-1.02,53.48,0.2,64.08,-0.63,43.27,-0.57,-22.959999084472656,4.789999961853027,23.06,-0.1,118.53,66.04,77.72,-15.33,8.130000114440918,0.75,32.15,1.14,,,,,,,,,,
31,91.31,-2.33,77.59,-0.95,53.57,0.21,64.02,-0.52,43.27,-0.57,-22.829999923706055,4.730000019073486,22.9,-0.07,118.53,66.04,77.74,-15.33,8.170000076293945,0.75,32.25,1.05,,,,,,,,,,
32,91.36,-2.32,77.55,-0.82,53.63,0.22,63.96,-0.53,43.33,-0.6,-22.829999923706055,4.730000019073486,22.77,-0.04,118.53,66.04,77.72,-15.33,8.279999732971191,0.7099999785423279,32.22,1.05,,,,,,,,,,
33,91.38,-2.31,77.52,-0.71,53.63,0.22,63.91,-0.5,43.37,-0.6,-22.829999923706055,4.730000019073486,22.64,-0.0,118.43,65.86,77.72,-15.33,8.350000381469727,0.7200000286102295,32.36,0.97,,,,,,,,,,
34,91.41,-2.31,77.58,-0.74,53.63,0.22,63.88,-0.5,43.33,-0.56,-23.0,4.78000020980835,22.54,0.03,118.33,65.67,77.68,-15.34,8.430000305175781,0.6800000071525574,32.37,0.92,,,,,,,,,,
35,91.43,-2.28,77.56,-0.67,53.66,0.18,63.87,-0.54,43.25,-0.48,-23.040000915527344,4.769999980926514,22.53,-0.07,118.28,65.49,77.66,-15.32,8.390000343322754,0.7300000190734863,32.41,0.92,,,,,,,,,,
36,91.45,-2.33,77.6,-0.6,53.63,0.22,63.82,-0.51,43.29,-0.52,-23.170000076293945,4.829999923706055,22.57,-0.21,118.23,65.49,77.61,-15.31,8.390000343322754,0.7300000190734863,32.56,0.8,,,,,,,,,,
37,91.45,-2.33,77.66,-0.62,53.66,0.18,63.82,-0.51,43.29,-0.52,-23.170000076293945,4.829999923706055,22.45,-0.18,118.18,65.31,77.58,-15.32,8.15999984741211,0.8600000143051147,32.73,0.72,,,,,,,,,,
38,91.48,-2.27,77.69,-0.62,53.69,0.19,63.82,-0.51,43.25,-0.48,-23.290000915527344,4.889999866485596,22.41,-0.19,118.28,65.49,77.56,-15.32,8.119999885559082,0.9100000262260437,32.61,0.85,,,,,,,,,,
39,91.48,-2.21,77.74,-0.61,53.69,0.19,63.8,-0.51,43.28,-0.48,-23.760000228881836,4.980000019073486,22.47,-0.23,118.23,65.49,77.56,-15.32,7.960000038146973,1.0099999904632568,32.56,0.89,,,,,,,,,,
40,91.5,-2.15,77.77,-0.61,53.72,0.15,63.77,-0.52,43.31,-0.48,-23.93000030517578,5.03000020980835,22.63,-0.31,118.27,65.67,77.57,-15.34,7.809999942779541,1.0399999618530273,32.49,0.98,,,,,,,,,,
41,91.55,-2.14,77.79,-0.6,53.57,0.21,63.74,-0.52,43.34,-0.47,-24.18000030517578,5.139999866485596,22.82,-0.38,118.12,65.48,77.57,-15.34,7.849999904632568,0.9900000095367432,32.47,1.03,,,,,,,,,,
42,91.6,-2.1,77.85,-0.6,53.66,0.18,63.69,-0.49,43.41,-0.51,-24.389999389648438,5.190000057220459,22.92,-0.37,118.06,65.47,77.57,-15.34,7.809999942779541,0.9900000095367432,32.49,0.98,,,,,,,,,,
43,91.6,-2.04,77.89,-0.56,53.69,0.19,63.61,-0.46,43.41,-0.51,-24.43000030517578,5.179999828338623,22.74,-0.24,118.05,65.65,77.58,-15.32,7.860000133514404,0.9399999976158142,32.57,0.95,,,,,,,,,,
